2025-08-16 15:58:00 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: d95b23712d247e8376bd83de7a2b198g
2025-08-16 15:58:01 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: d95b23712d247e8376bd83de7a2b198g
2025-08-16 15:58:02 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: d95b23712d247e8376bd83de7a2b198g
2025-08-16 15:58:03 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] STOP_EVENT_IGNORED - CallSid: d95b23712d247e8376bd83de7a2b198g
2025-08-16 15:58:03 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] WEBSOCKET_COMPATIBILITY_ERROR - CallSid: d95b23712d247e8376bd83de7a2b198g
2025-08-16 15:58:04 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] WEBSOCKET_CLOSED_GRACEFUL - CallSid: d95b23712d247e8376bd83de7a2b198g
2025-08-16 16:14:37 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] START_MESSAGE_RECEIVED - CallSid: unknown
2025-08-16 16:14:39 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] CUSTOMER_DATA_FOUND_DATABASE - CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:14:39 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] INITIAL_GREETING_START - CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:14:49 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] INITIAL_GREETING_SUCCESS - CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:14:49 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:14:52 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:14:52 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] LANGUAGE_DETECTED - CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:15:33 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] EMI_DETAILS_ERROR - CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:15:33 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] WEBSOCKET_COMPATIBILITY_ERROR - CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:15:34 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] WEBSOCKET_CLOSED_GRACEFUL - CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:58:16 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] START_MESSAGE_RECEIVED - CallSid: unknown
2025-08-16 16:58:17 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] CUSTOMER_DATA_FOUND_DATABASE - CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:58:17 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] INITIAL_GREETING_START - CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:58:28 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] INITIAL_GREETING_SUCCESS - CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:58:28 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:58:31 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] TRANSCRIPT_RECEIVED - CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:58:31 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] LANGUAGE_DETECTED - CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:59:34 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] EMI_DETAILS_ERROR - CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:59:41 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] EMI_DETAILS_FALLBACK_ERROR - CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:59:41 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] WEBSOCKET_COMPATIBILITY_ERROR - CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:59:42 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] WEBSOCKET_CLOSED_GRACEFUL - CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 17:27:34 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] START_MESSAGE_RECEIVED - CallSid: unknown
2025-08-16 17:27:35 | INFO     | voice_assistant.calls | log_call_event:200 | [CALL] CUSTOMER_DATA_FOUND_DATABASE - CallSid: da028f8a80f9b4cc33f3409e7dec198g
