2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 16: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 17: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 18: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 19: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 20: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 21: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:34 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 22: Cannot call "send" once a close message has been sent.
2025-08-16 18:20:36 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1828 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-16 18:20:37 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1843 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-16 21:58:42 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-16 21:58:49 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-16 21:58:58 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-16 21:59:02 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-16 21:59:11 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-16 21:59:15 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-16 21:59:25 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-16 21:59:44 | ERROR    | voice_assistant.errors | lifespan:56 | ❌ Database initialization failed
2025-08-16 22:53:42 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:251 | ❌ Error sending chunk 16: 
2025-08-16 22:53:44 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1828 | WebSocket compatibility error: WebSocket is not connected. Need to call "accept" first.
2025-08-16 22:53:45 | ERROR    | voice_assistant.errors | old_websocket_endpoint:1843 | Error closing WebSocket: Cannot call "send" once a close message has been sent.
2025-08-17 13:12:00 | ERROR    | voice_assistant.errors | stream_audio_to_websocket:219 | Error streaming audio to WebSocket: 
