2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | log_websocket_message:192 | [media] WebSocket message
2025-09-01 23:03:15 | INFO     | voice_assistant.websocket | old_websocket_endpoint:1813 | 📨 Received message: media
